Date,AQI,Rhumidity,Wind Speed
2016-11-02,2.1726,45.25,6.1208
2016-11-01,2.1849,50.6667,4.2591
2016-10-31,1.9398,65.25,5.6261
2016-10-30,2.1111,86.5833,6.3125
2016-10-29,1.8051,88,4.8833
2016-10-28,1.7564,65.0833,6.9208
2016-10-27,2.261,98.0417,4.575
2016-10-26,2.1959,98.3333,4.6333
2016-10-25,1.8715,74.8333,3.4417
2016-10-24,2.0226,76.5417,6.6167
2016-10-23,2.1171,81.8333,5.1792
2016-10-22,2.2856,84.0833,3.8375
2016-10-21,2.4168,67.125,8.2875
2016-10-20,2.1249,54.5833,3.7667
2016-10-19,1.9837,53.4167,5.7792
2016-10-18,1.6213,60.8333,3.975
2016-10-17,1.6523,71.4583,4.9167
2016-10-16,2.0297,97.5417,8.4333
2016-10-15,1.7708,93.6667,3.9542
2016-10-14,2.0837,71.2083,6.2542
2016-10-13,2.4131,89.875,7.7292
2016-10-12,2.1324,91.5417,4.0708
2016-10-11,2.0021,75.0833,3.55
2016-10-10,1.8376,61.5833,7.7417
2016-10-09,1.6076,76.1667,5.1625
2016-10-08,1.4496,89.125,4.7958
2016-10-07,1.8228,86.5833,2.15
2016-10-06,1.9516,100,6.1583
2016-10-05,2.0683,89.75,3.9708
2016-10-04,2.1329,68.5833,4.8917
2016-10-03,2.0173,77.9583,9.4
2016-10-02,2.3038,75.9583,6.3292
2016-10-01,1.7181,68.4583,9.35
2016-09-30,2.1915,75.2083,4.6375
2016-09-29,1.8812,94.0417,9.2
2016-09-28,2.1809,87.875,5.5542
2016-09-27,2.257,79.6667,6.6
2016-09-26,2.1763,67.3333,4.6542
2016-09-25,2.1763,65.3333,4.8042
2016-09-24,2.3032,52.8333,4.9375
2016-09-23,1.9482,56.7083,3.8375
2016-09-22,2.0545,59.5417,8.2208
2016-09-21,1.8833,78.6667,8.2958
2016-09-20,1.7584,89.9583,4.35
2016-09-19,2.1714,79.7917,7.7792
2016-09-18,2.442,91.7083,7.2958
2016-09-17,2.2081,55,6.5292
2016-09-16,1.9428,55.5,3.2565
2016-09-15,2.0688,48.2917,4.3708
2016-09-14,1.8148,54.0417,8.0958
2016-09-13,2.1728,56.7917,4.8042
2016-09-12,2.0579,55.2917,10.3542
2016-09-11,2.0544,59.0833,6.9875
2016-09-10,2.254,71.375,6.9042
2016-09-09,1.8341,90.125,6.1375
2016-09-08,1.9102,54.0833,7.175
2016-09-07,1.8271,64.125,7.2125
2016-09-06,1.7215,74.7917,5.5375
2016-09-05,1.9144,63.2917,13.5625
2016-09-04,1.6353,83.7917,10.2333
2016-09-03,1.9732,84.2083,6.6417
2016-09-02,2.2208,79.9583,9.875
2016-09-01,2.7902,70.9583,8.1792
2016-08-31,2.4822,84.4583,4.4875
2016-08-30,2.2905,52.5,5.2542
2016-08-29,1.9845,63.25,6.3292
2016-08-28,1.9944,71.625,6.4125
2016-08-27,1.9273,71.0833,5.6958
2016-08-26,2.061,74.5417,7.0708
2016-08-25,2.0843,75.75,4.75
2016-08-24,1.9929,68.75,5.9833
2016-08-23,2.231,78.6667,5.4458
2016-08-22,2.3179,66.9091,7.825
2016-08-21,2.5163,75.7083,6.3458
2016-08-20,2.175,72.75,6.3833
2016-08-19,1.9227,63.0833,9.8458
2016-08-18,1.9816,56.375,6.3136
2016-08-17,2.293,66.0417,20.475
2016-08-16,2.7653,69.5833,16.0792
2016-08-15,2.2845,72.2917,6.0333
2016-08-14,2.496,63.9167,6.0792
2016-08-13,2.2242,64.9583,6.9167
2016-08-12,2.0373,68.75,6.5917
2016-08-11,1.8888,67.8333,4.8833
2016-08-10,1.9454,71.9167,5.1625
2016-08-09,2.444,79.6667,4.5917
2016-08-08,2.3942,86.7083,5.6375
2016-08-07,2.6144,72.9167,4.8792
